,CBOW w2,CBOW w5,CLICS,EAT,SENSE
0,WEDNESDAY : THURSDAY,WEDNESDAY : THURSDAY,TREE : WOOD,WIFE : HUSBAND,MISPLACE : LOST
1,MONDAY : WEDNESDAY,TUESDAY : WEDNESDAY,MOON : MONTH,WEST : EAST,FIELD : SWIDDEN FIELD
2,MONDAY : THURSDAY,MONDAY : WEDNESDAY,CLAW : FINGERNAIL,THOU : ANXIETY,HAIR : HAIR (BODY)
3,TUESDAY : THURSDAY,MONDAY : THURSDAY,LEG : FOOT,DOWN : UP,HAIR : HAIR (HEAD)
4,TUESDAY : WEDNESDAY,THIRTY ONE : THIRTY NINE,KNIFE : KNIFE (FOR EATING),POOR : RICH,OPEN : UNCOVER
5,TWENTY FOUR : THIRTY ONE,TUESDAY : THURSDAY,LANGUAGE : WORD,RIGHT : WRONG,STRING : THREAD
6,TWENTY THREE : THIRTY SIX,MONDAY : TUESDAY,SON-IN-LAW (OF MAN) : SON-IN-LAW (OF WOMAN),YES : NO,HAIR (BODY) : HAIR (HEAD)
7,FORTY : THIRTY NINE,FRIDAY : THURSDAY,SKIN : BARK,FIR : TREE,BELT : TIE
8,FORTY : THIRTY SEVEN,THIRTY : TWENTY EIGHT,HEAR : LISTEN,COW : UDDER,BIG : VERY
9,THIRTY ONE : FORTY ONE,TWENTY EIGHT : FORTY SIX,HAND : ARM,SOUTH : NORTH,TIE : STRING
