Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
to	2754	TOWARDS	other	19
it	169	IT	other	19
is	1579	BE	verb	19
admit	2022	ADMIT	verb	19
that	78	THAT	other	19
right	1019	RIGHT	adjective	19
refuse	49	REFUSE	verb	19
person	683	PERSON	noun	19
were	1579	BE	verb	19
club	1763	CLUB	noun	19
cultivate	1541	CULTIVATE	verb	19
then	2921	THEN	other	19
understand	1536	UNDERSTAND	verb	19
in	1460	IN	other	19
back	1291	BACK	noun	19
bay	663	BAY	noun	19
and	1577	AND	other	19
not	1240	NOT	other	19
or	1014	OR	other	19
manner	488	MANNER	noun	19
be	1579	BE	verb	19
this	1214	THIS	other	19
no	1269	NO	other	19
power	2526	POWER	noun	19
could	972	BE ABLE	verb	19
so	2336	OF THIS KIND (SUCH)	other	19
argue	3302	QUARREL (VERB)	verb	19
decide	685	DECIDE	verb	19
his	2473	HIS (GENITIVE OF HE)	noun	19
those	78	THAT	other	19
who	1235	WHO	other	19
from	693	FROM	other	19
their	2400	THEIR	other	19
we	1212	WE	other	19
today	1283	TODAY	other	19
are	1579	BE	verb	19
honest	1120	HONEST	adjective	19
men	1554	MAN	noun	19
believe	1890	BELIEVE	verb	19
against	2469	AGAINST	adjective	19
poison	655	POISON	noun	19
mind	1562	MIND	noun	19
one	1493	ONE	numeral	19
can	972	BE ABLE	verb	19
matter	2150	MATTER	noun	19
every	98	ALL	other	19
return	581	COME BACK	verb	19
first	728	FIRST	other	19
church	1349	CHURCH	noun	19
let	2896	CAUSE TO (LET)	verb	19
use	2072	USE (VERB)	verb	19
sound	2879	SOUND (OF INSTRUMENT OR VOICE)	verb	19
board	1227	BOARD	noun	19
when	1238	WHEN	other	19
turn	1588	TURN	verb	19
come	1446	COME	verb	19
did	813	DO	verb	19
seem	1521	SEEM	verb	19
clear	989	CLEAR	adjective	19
day	1225	DAY (NOT NIGHT)	noun	19
these	1214	THIS	other	19
son	1620	SON	noun	19
explain	1626	EXPLAIN	verb	19
father	1217	FATHER	noun	19
they	817	THEY	other	19
had	773	HAVE	verb	19
always	1676	ALWAYS	other	19
never	1656	NEVER	other	19
would	1784	WANT	verb	19
follow	1085	FOLLOW	verb	19
free	2316	FREE	adjective	19
religion	661	RELIGION	noun	19
all	98	ALL	other	19
still	2919	STILL (CONTINUING)	other	19
school	673	SCHOOL	noun	19
with	1340	WITH	other	19
insult	3204	INSULT	verb	19
lavish	222	LAVISH	adjective	19
upon	1753	TOP	noun	19
after	1685	AFTER	other	19
receive	694	GET	verb	19
he	1211	HE	other	19
invite	1611	INVITE	verb	19
betray	1902	BETRAY	verb	19
new	1231	NEW	adjective	19
january	2036	JANUARY	noun	19
while	726	WHILE	noun	19
may	972	BE ABLE	verb	19
defend	1330	DEFEND	verb	19
leave	1752	LEAVE	verb	19
state	2955	STATE (POLITICS)	noun	19
between	689	BETWEEN	other	19
bring	692	BRING	verb	19
do	813	DO	verb	19
have	773	HAVE	verb	19
remain	987	REMAIN	verb	19
assemble	3638	ASSEMBLE (GET TOGETHER)	verb	19
honor	3628	HONOR (SOMEBODY)	verb	19
other	197	OTHER	other	19
get	694	GET	verb	19
down	1326	DOWN	other	19
knee	1371	KNEE	noun	19
cry	1839	CRY	verb	19
command	1998	COMMAND	verb	19
room	1450	ROOM	noun	19
close	1046	SHUT	verb	19
what	1236	WHAT	other	19
been	1579	BE	verb	19
break	680	BREAK (DESTROY OR GET DESTROYED)	verb	19
weep	1839	CRY	verb	19
rush	2860	BOLT (MOVE IN HASTE)	verb	19
out	1107	GO OUT	verb	19
take	1749	TAKE	verb	19
hand	1277	HAND	noun	19
request	1828	ASK (REQUEST)	verb	19
visit	1377	VISIT	verb	19
our	780	OUR	other	19
again	204	AGAIN	other	19
tear	1735	TEAR (SHRED)	verb	19
near	1942	NEAR	adjective	19
tragedy	2434	TRAGEDY	noun	19
which	727	WHICH	other	19
border	2546	BORDER	noun	19
tell	1711	TELL	verb	19
story	2060	STORY	noun	19
over	1741	ABOVE	other	19
warm	1232	WARM	adjective	19
thing	738	THING	noun	19
but	506	MAIZE	noun	19
inherit	3664	INHERIT	verb	19
say	1458	SAY	verb	19
ask	1309	ASK (INQUIRE)	verb	19
yet	2577	YET	other	19
lay	2071	LAY (VERB)	verb	19
rest	168	REST	verb	19
more	1992	MORE	other	19
university	2435	UNIVERSITY	noun	19
name	1405	NAME	noun	19
case	1465	BOX	noun	19
stubborn	3634	STUBBORN	adjective	19
give	1447	GIVE	verb	19
birth	2805	BIRTH (ACCOUCHEMENT)	noun	19
two	1498	TWO	numeral	19
brilliant	3709	BRILLIANT	adjective	19
test	2571	TRY (TEST)	verb	19
think	2271	THINK	verb	19
way	667	ROAD	noun	19
how	1239	HOW	other	19
trumpet	775	TRUMPET	noun	19
human	683	PERSON	noun	19
fear	1419	FEAR (BE AFRAID)	verb	19
worry	150	WORRY	verb	19
there	1937	THERE	other	19
problem	2425	PROBLEM	noun	19
behind	1686	BEHIND	other	19
walk	1443	WALK	verb	19
lick	319	LICK	verb	19
wound	1109	WOUND	noun	19
preserve	1997	PRESERVE	verb	19
want	1784	WANT	verb	19
depart	1752	LEAVE	verb	19
dare	1779	DARE	verb	19
throw	1456	THROW	verb	19
hence	2927	FROM HERE	other	19
memory	1018	MEMORY	noun	19
afterwards	2093	AFTERWARDS	other	19
within	1460	IN	other	19
point	2669	POINT (WITH FINGER)	noun	19
accuse	1814	ACCUSE	verb	19
finger	1303	FINGER	noun	19
at	1461	AT	other	19
courage	3049	COURAGE	adjective	19
cut	1432	CUT	verb	19
throat	1346	THROAT	noun	19
time	892	TIME	noun	19
real	1657	TRUE	adjective	19
bitter	887	BITTER	adjective	19
smooth	1234	SMOOTH	adjective	19
now	1376	NOW	other	19
call	1084	CALL	verb	19
world	965	WORLD	noun	19
afraid	1419	FEAR (BE AFRAID)	verb	19
own	684	OWN	verb	19
prepare	2909	PREPARE	verb	19
threaten	1192	THREATEN	verb	19
show	1039	SHOW	verb	19
face	1560	FACE	noun	19
defense	1330	DEFEND	verb	19
war	935	WAR	noun	19
find	719	FIND	verb	19
reason	2968	REASON	noun	19
respect	385	RESPECT (SOMEBODY)	verb	19
minister	486	MINISTER	noun	19
different	2504	DIFFERENT	adjective	19
hold	1448	HOLD	verb	19
up	1591	UP	other	19
become	1990	BECOME	verb	19
very	1311	VERY	other	19
much	3452	MUCH	other	19
i	1209	I	other	19
here	136	HERE	other	19
put	998	PUT	verb	19
end	742	END (OF SPACE)	noun	19
learn	504	LEARN	verb	19
doubt	1308	DOUBT	noun	19
cruel	500	CRUEL	adjective	19
gentle	1954	GENTLE	adjective	19
write	1672	WRITE	verb	19
friend	1325	FRIEND	noun	19
many	1198	MANY	other	19
spirit	53	SPIRIT	noun	19
yoke	14	YOKE	noun	19
judgment	1067	JUDGMENT	noun	19
city	2547	CITY	noun	19
govern	382	GOVERN	verb	19
little	1246	SMALL	adjective	19
stand	1442	STAND	verb	19
another	197	OTHER	other	19
most	1198	MANY	other	19
people	789	PEOPLE	noun	19
run	1519	RUN	verb	19
often	1852	OFTEN	other	19
rule	1846	RULE	verb	19
iron	621	IRON	noun	19
add	2882	ADD	verb	19
remember	707	REMEMBER	verb	19
heart	1223	HEART	noun	19
speak	1623	SPEAK	verb	19
without	1478	WITHOUT	other	19
book	963	BOOK	noun	19
some	1241	SOME	other	19
law	1062	LAW	noun	19
speech	1115	SPEECH	noun	19
hurry	754	HURRY	verb	19
letter	1612	LETTER	noun	19
bore	1501	BORE	verb	19
descend	2014	GO DOWN (DESCEND)	verb	19
make	734	MAKE	verb	19
beginning	1557	BEGINNING	noun	19
because	1157	BECAUSE	other	19
someone	2422	SOMEONE	other	19
taste	21	TASTE (SOMETHING)	verb	19
allow	1003	PERMIT	verb	19
appear	1076	EMERGE (APPEAR)	verb	19
only	1580	ONLY	other	19
am	1579	BE	verb	19
sure	509	CERTAIN	adjective	19
fresh	243	FRESH	adjective	19
painful	1129	PAINFUL	adjective	19
battle	579	BATTLE	noun	19
neighbor	1332	NEIGHBOUR	noun	19
fight	1423	FIGHT	verb	19
citizen	1032	CITIZEN	noun	19
language	1307	LANGUAGE	noun	19
doctor	597	PHYSICIAN	noun	19
three	492	THREE	numeral	19
before	1882	BEFORE	other	19
merchant	1082	MERCHANT	noun	19
holy	1702	HOLY	adjective	19
emotion	2573	FEELING (EMOTION)	noun	19
old	1229	OLD	adjective	19
tide	891	TIDE	noun	19
thin	2308	THIN	adjective	19
lip	478	LIP	noun	19
white	1335	WHITE	adjective	19
line	1048	LINE	noun	19
talk	2708	TALK	verb	19
you	1213	YOU	other	19
same	200	SAME	other	19
great	1202	BIG	adjective	19
cross	1367	CROSS	noun	19
bosom	1402	BREAST	noun	19
head	1256	HEAD	noun	19
home	2406	HOME	noun	19
few	1242	FEW	other	19
business	2931	BUSINESS	noun	19
repeat	880	REPEAT	verb	19
know	3626	KNOW	verb	19
catch	702	CATCH	verb	19
malaria	3059	MALARIA	noun	19
bad	1292	BAD	adjective	19
deceive	3230	DECEIVE	verb	19
duty	3471	OBLIGATION (DUTY)	noun	19
love	923	LOVE	verb	19
sense	2572	SENSE (PERCEIVE BY SENSES)	verb	19
pain	1783	PAIN	noun	19
