Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
it	169	IT	other	19
is	1579	BE	verb	19
admit	2022	ADMIT	verb	19
that	78	THAT	other	19
right	1019	RIGHT	adjective	19
refuse	49	REFUSE	verb	19
person	683	PERSON	noun	19
were	1579	BE	verb	19
club	1763	CLUB	noun	19
cultivate	1541	CULTIVATE	verb	19
then	2921	THEN	other	19
understand	1536	UNDERSTAND	verb	19
in	1460	IN	other	19
back	1291	BACK	noun	19
bay	663	BAY	noun	19
and	1577	AND	other	19
not	1240	NOT	other	19
or	1014	OR	other	19
manner	488	MANNER	noun	19
be	1579	BE	verb	19
this	1214	THIS	other	19
no	1269	NO	other	19
could	972	BE ABLE	verb	19
those	78	THAT	other	19
who	1235	WHO	other	19
their	2400	THEIR	other	19
we	1212	WE	other	19
today	1283	TODAY	other	19
are	1579	BE	verb	19
men	1554	MAN	noun	19
believe	1890	BELIEVE	verb	19
poison	655	POISON	noun	19
mind	1562	MIND	noun	19
one	1493	ONE	numeral	19
can	972	BE ABLE	verb	19
every	98	ALL	other	19
return	581	COME BACK	verb	19
first	728	FIRST	other	19
church	1349	CHURCH	noun	19
let	2896	CAUSE TO (LET)	verb	19
sound	2879	SOUND (OF INSTRUMENT OR VOICE)	verb	19
board	1227	BOARD	noun	19
when	1238	WHEN	other	19
turn	1588	TURN	verb	19
come	1446	COME	verb	19
did	813	DO	verb	19
seem	1521	SEEM	verb	19
clear	989	CLEAR	adjective	19
day	1225	DAY (NOT NIGHT)	noun	19
these	1214	THIS	other	19
son	1620	SON	noun	19
explain	1626	EXPLAIN	verb	19
father	1217	FATHER	noun	19
they	817	THEY	other	19
had	773	HAVE	verb	19
always	1676	ALWAYS	other	19
never	1656	NEVER	other	19
would	1784	WANT	verb	19
follow	1085	FOLLOW	verb	19
all	98	ALL	other	19
still	2919	STILL (CONTINUING)	other	19
with	1340	WITH	other	19
upon	1753	TOP	noun	19
after	1685	AFTER	other	19
receive	694	GET	verb	19
he	1211	HE	other	19
invite	1611	INVITE	verb	19
betray	1902	BETRAY	verb	19
new	1231	NEW	adjective	19
may	972	BE ABLE	verb	19
defend	1330	DEFEND	verb	19
leave	1752	LEAVE	verb	19
state	2955	STATE (POLITICS)	noun	19
between	689	BETWEEN	other	19
bring	692	BRING	verb	19
do	813	DO	verb	19
have	773	HAVE	verb	19
remain	987	REMAIN	verb	19
other	197	OTHER	other	19
get	694	GET	verb	19
down	1326	DOWN	other	19
knee	1371	KNEE	noun	19
cry	1839	CRY	verb	19
room	1450	ROOM	noun	19
close	1046	SHUT	verb	19
what	1236	WHAT	other	19
been	1579	BE	verb	19
break	680	BREAK (DESTROY OR GET DESTROYED)	verb	19
weep	1839	CRY	verb	19
